labels,FeatDv3Cls
wafer_001,"tensor([8.235688,7.981064,0.256695,-7.025435,-6.234720,0.689200,2.054695,-2.573608,5.202979,5.274751,5.212045,-6.656922,13.572555,1.799577,-1.260468,-1.655743,-2.447755,4.823158,2.481576,-4.379882,2.987781,-7.397846,1.381948,1.134748,-5.711692,6.147895,8.824339,-15.275598,4.302664,-0.192696,2.229668,11.817430,8.460198,4.613809,7.442963,-2.408154,-11.455157,6.400503,15.275729,-3.409132,-3.738674,-4.012850,-1.067142,4.516262,-2.118793,6.148524,10.481336,0.314333])"
wafer_002,"tensor([-10.610365,-6.021100,0.502611,2.690936,-0.384746,-3.538045,-12.582183,4.178182,-6.525615,-8.347941,-3.844930,-1.158975,-11.067961,0.634045,4.876865,-7.609554,3.950784,-3.265797,-6.686739,-0.051281,1.323043,0.112714,5.368830,-3.330323,6.913745,5.758553,0.957738,0.214946,-4.917678,7.634434,-0.305386,-9.287660,-8.696703,-4.635413,-4.821940,3.735261,4.183532,-6.847280,-9.166589,-4.160764,3.150756,-2.792519,-1.522423,-9.800417,0.947499,4.104082,4.076563,5.179119])"
wafer_003,"tensor([-9.733640,-8.339926,0.348143,2.439552,-0.039286,-4.494226,-11.000776,3.677022,-7.804926,-7.687444,-3.858510,0.601248,-8.948911,2.015369,2.328855,-8.707360,3.492999,-6.491424,-7.568777,0.668883,0.221578,-2.514587,4.869709,-3.021065,5.965475,7.247734,0.388433,-1.933476,-3.352552,8.470387,0.511384,-7.784735,-5.897279,-1.698338,-2.884873,5.259215,2.601004,-5.274262,-6.018114,-3.765385,0.221653,-0.507559,-1.085471,-6.585451,-1.998125,2.517957,2.188334,5.010102])"
wafer_004,"tensor([-10.905133,-7.525859,0.330347,2.542894,-0.858604,-3.230353,-10.770210,6.142577,-8.515792,-7.084365,-1.852816,0.598337,-11.643868,0.226668,2.897009,-8.107667,2.377171,-3.846021,-7.672680,0.053259,-1.039765,-2.388097,4.819328,-1.323271,5.320063,5.317029,1.848813,-0.678988,-3.482728,7.737669,0.230809,-6.767027,-6.701477,-4.512559,-7.399469,3.765634,3.323640,-5.316406,-7.717459,-4.611524,0.603032,-1.939570,-3.664485,-5.796204,-1.981552,2.752974,5.805200,3.132170])"
wafer_005,"tensor([7.289597,9.920765,3.379476,-5.773605,-4.992466,0.937479,2.173552,-2.485807,3.745628,3.519492,2.308935,-4.977105,8.401384,-1.419736,1.259332,-0.989067,-2.634139,3.768593,2.311706,0.057173,4.109012,-2.483053,-0.118632,-0.397150,-3.024422,4.873267,8.685456,-10.897881,1.325686,1.803192,3.909578,9.143260,7.314016,1.119956,3.992785,0.861961,-10.696371,1.451475,5.700333,-6.514565,-1.708410,-1.822022,-1.188840,0.457740,-0.869031,4.769705,8.102728,4.974233])"
wafer_006,"tensor([-6.455994,-0.720331,-0.288652,8.124805,3.097425,5.041451,5.553722,9.492148,-10.497510,-6.336899,-6.109431,7.738529,-18.119733,-8.092606,1.192573,6.104697,-2.498692,2.502429,-1.898797,7.732892,-4.541392,7.191942,-2.458770,-1.944382,7.522828,-5.726149,-1.818513,12.836537,-7.430514,4.890001,2.293738,-2.966497,-8.768047,-10.308949,-11.165130,3.849298,6.579664,-5.912250,-15.528124,3.966199,7.635607,1.317599,-4.611119,-7.691208,2.509843,-5.252395,-6.991874,2.803183])"
wafer_007,"tensor([8.076023,7.838224,2.913481,-5.994372,-5.981358,0.983191,6.184566,-2.408686,2.063026,3.731354,3.398759,-3.397162,10.586380,0.383922,-1.919460,0.345722,-4.234165,1.729382,1.780653,0.449508,1.540203,-6.403927,-0.898902,0.779761,-5.033075,6.978835,8.780517,-13.194453,2.645726,1.862296,4.665173,12.557455,11.683728,4.806921,4.595749,1.376609,-11.565643,5.044842,11.678642,-5.677409,-5.687301,0.274734,-1.580880,4.218681,-4.659458,3.092330,7.390779,2.688029])"
wafer_008,"tensor([-5.765384,0.244318,-2.317305,6.053202,2.074761,5.154581,5.699922,10.875628,-8.548661,-5.149831,-3.754056,5.980399,-14.750914,-6.654034,0.359153,3.873349,-0.752437,3.866239,0.215479,4.724664,-1.829954,2.299322,-1.068913,-1.517443,5.746067,-6.972114,-0.241639,10.670804,-6.582035,5.116738,0.177095,-0.684521,-8.755456,-8.799342,-7.969405,3.516281,4.843767,-5.250853,-12.389011,5.445545,7.181737,-0.881482,-4.295381,-5.373937,1.066763,-1.512642,-8.245023,4.056838])"
wafer_009,"tensor([0.576408,-3.247451,-1.307020,-0.011419,0.144661,-0.360263,-6.906047,-7.381743,3.181123,1.055433,-1.005911,-5.383358,2.910031,-0.067532,5.238204,6.190903,4.208702,4.749108,4.645966,-3.719823,-3.067696,9.031089,3.076280,-1.121105,-0.540889,3.153025,-2.628530,0.422647,2.592817,-5.182346,-1.336208,-5.901390,-3.544162,0.599031,4.985298,-9.952954,6.560640,0.018817,0.929078,2.999121,4.721484,-3.184141,5.486819,-6.272480,7.914540,-1.937714,0.431388,-5.926350])"
wafer_010,"tensor([-9.337003,-1.048619,0.577069,6.795157,2.621245,2.214277,1.913771,11.347767,-7.566980,-7.304121,-4.077045,6.072288,-14.166987,-5.040990,0.554431,-0.536485,-0.994151,-0.536493,-4.027266,4.692123,1.057332,0.329364,-0.312607,-0.233657,7.215996,-6.780727,-1.908851,8.495170,-7.042860,6.057589,-0.091762,-4.493886,-7.852359,-8.798581,-9.585808,6.316601,5.547685,-4.547673,-11.990049,1.936926,3.482244,1.207794,-3.630984,-4.755201,-0.615644,-1.573243,-6.537876,4.463897])"
