labels,FeatDv3Cls
wafer_001,"tensor([0.144682,0.481980,-3.478141,-3.711489,9.195973,3.537893,0.987719,-3.679191,6.505170,-5.118221,1.973738,-1.566545,3.134732,-4.414155,4.549555,6.494424,-8.594805,-0.057268,0.091510,8.839120,6.112106,1.273025,2.447228,0.681350,-7.913282,0.843435,4.899855,9.906188,10.000841,4.076908,-3.106118,8.641330,2.081223,0.540611,3.336082,-4.381374,4.000034,5.173170,0.407502,4.957320,-0.444592,-2.396351,-4.393823,0.619112,-5.355295,6.639415,3.789170,-6.009914])"
wafer_002,"tensor([-2.666812,6.954926,8.420922,0.696918,-7.613733,-0.441828,8.629998,2.118756,11.714770,-2.727180,-2.597429,7.740068,4.656909,3.995520,-7.560939,-5.309617,2.805399,-4.152702,-7.201687,4.446748,0.443895,-0.329123,0.414112,-0.304087,-1.519503,-1.009693,-3.071696,-5.837535,-15.501343,-1.983538,-3.061368,-4.886966,6.277596,1.486712,-0.117856,2.407307,1.693696,-0.062028,-8.286555,-2.247639,-7.070009,5.623793,1.831156,12.774890,1.469322,-2.792206,4.193979,2.244928])"
wafer_003,"tensor([-0.842303,7.032771,9.326169,1.275067,-9.167881,0.215606,9.064753,0.244645,9.973610,0.133569,-1.616605,5.620746,3.500918,2.037640,-6.421753,-5.322446,3.596525,-3.170368,-6.124600,3.631514,1.872559,-0.457324,2.507587,-1.212227,-1.305451,-1.383597,-3.888806,-3.438124,-13.637784,-2.823010,-1.257463,-4.984259,4.732453,1.913610,-2.133348,0.445770,2.137533,-4.487809,-8.223715,-2.938160,-7.574341,4.363601,2.682847,11.046499,2.705157,-3.116931,2.731734,-0.083892])"
wafer_004,"tensor([-1.039269,8.232391,7.627408,-0.335664,-9.458913,1.130613,8.389097,0.913641,8.110156,-2.491468,1.653600,5.855929,4.333702,3.879576,-4.599015,-6.106905,1.914128,-3.114018,-5.757499,4.537437,-1.434737,-1.746137,0.849732,0.081849,-2.085888,-1.475405,-2.066031,-4.315918,-10.603127,-1.658132,-1.193562,-5.256598,1.303499,1.615214,-4.696960,1.710260,4.072199,-2.015309,-8.705755,-3.650823,-8.028361,5.861092,3.671086,14.723438,-0.381244,-3.296285,4.619864,2.720818])"
wafer_005,"tensor([-2.522900,1.570269,-0.455544,-3.648723,7.618149,-0.774255,0.045548,-3.844200,4.575293,-6.775201,-0.203899,0.710600,1.963713,-1.194377,-0.434028,4.603318,-8.206011,-1.053144,2.069608,7.535099,2.357455,1.363218,0.490853,0.818326,-3.665985,-3.538069,2.680451,5.878048,4.416562,-0.190633,-4.576247,3.635883,5.705682,0.897696,5.835543,-3.374577,1.573413,4.016776,1.211972,2.562805,0.728853,-2.896369,-7.342054,-2.675057,-1.793064,5.983973,4.132257,-5.050369])"
wafer_006,"tensor([-3.984813,5.781053,3.342558,0.782625,-8.530200,-6.746243,-4.435417,-1.462902,-8.218614,-2.627021,6.294929,0.498783,-4.196257,9.247042,-3.365233,-6.095720,3.246263,-1.106877,-3.365426,-10.479796,-10.207724,-4.337623,-3.838269,0.771356,0.035401,-3.570746,-5.558687,-11.643974,-9.929820,-3.694177,1.769115,-2.616036,-4.711409,0.429604,0.731830,5.708434,1.022310,2.622410,-7.213804,-10.735708,-1.289448,3.390878,-1.885686,5.356338,4.434635,-2.845663,0.659486,12.104816])"
wafer_007,"tensor([-1.508572,0.992174,-0.930728,-2.818888,6.258563,0.152966,-1.228926,-6.123316,2.216939,-4.669040,2.247933,-1.964704,-0.419635,-2.248353,2.050799,4.207911,-8.256543,0.126896,2.438313,5.697025,3.044012,-0.925299,2.956281,0.892120,-6.179808,-1.983376,1.779801,7.593766,5.699942,1.473784,-3.376913,4.422657,1.508189,0.142477,3.933059,-4.162419,3.933217,-0.635580,-0.542485,-0.227739,-0.058898,-4.571478,-6.038995,-3.682518,-2.286835,8.271304,1.561619,-6.913657])"
wafer_008,"tensor([-2.598046,5.215667,1.762717,-0.527445,-5.039721,-3.988418,-4.862713,-1.046347,-7.298432,-1.361153,3.971467,3.510961,-5.199683,6.719130,-3.334247,-3.648066,2.591539,-1.348013,-4.253056,-7.569695,-6.307213,-4.074512,-4.931441,0.042512,0.372447,0.293717,-2.490296,-10.209470,-6.545651,-2.906006,1.991004,1.422302,-4.451224,2.372273,1.017485,3.647363,2.921791,3.606106,-4.367161,-7.632185,-2.087335,3.905598,-0.819927,5.129577,2.166447,-1.648540,2.177774,11.617826])"
wafer_009,"tensor([-2.574554,-3.297320,-2.226862,-0.475727,3.719564,3.876373,1.470274,7.038449,8.993030,4.545229,1.381027,0.499241,6.628059,-0.385341,0.273271,3.164637,0.895481,-1.805980,-4.927231,-2.727961,3.130432,0.736128,-0.757692,0.093536,0.893997,0.350627,-5.470830,-1.922249,-4.152236,7.298957,-5.443604,2.869031,3.257076,-2.206884,3.537472,3.444585,-5.158438,4.717670,-8.124838,2.793781,2.059960,-1.542205,0.142280,-4.051486,0.708628,0.912736,1.523273,-1.197419])"
wafer_010,"tensor([0.626258,5.120729,4.370844,1.243908,-6.917912,-4.469248,-2.488839,0.658693,-6.260540,-1.813569,-0.264564,4.220384,-4.854070,7.024535,-5.357978,-5.088056,4.421772,0.758320,-2.980329,-4.399557,-5.152561,-2.309382,-4.141255,-0.510302,1.160638,0.619355,-1.018415,-8.975958,-7.887692,-4.913546,1.624253,-3.582303,-1.915585,2.518531,-0.954486,3.099642,2.199550,1.134413,-4.111067,-6.746866,-2.518133,2.854675,1.130907,6.203078,1.744519,-3.319361,0.438183,7.970411])"
